Timestamp,PM1.0 (std),PM2.5 (std),PM10 (std),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um,Temperature: %0.1f C,Gas: %d ohm,Humidity: %0.1f %%,Pressure: %0.3f hPa,Altitude = %0.2f meters
2025-02-19 15:33:17,0,0,0,0,0,0,0,0,0,0,0,0,34.7798046875,15862,100,796.7189741665525,1982.4556093898398
2025-02-19 15:33:18,0,0,0,0,0,0,0,0,0,0,0,0,21.377265625,9644,61.627272488437136,1010.7356935391782,20.954381567191042
2025-02-19 15:33:19,0,0,0,0,0,0,0,0,0,0,0,0,21.4176953125,20055,61.485313443099884,1010.7358875199446,20.952763292586695
2025-02-19 15:33:20,0,0,0,0,0,0,0,0,0,0,0,0,21.4675,30889,61.33137925932186,1010.7344728653849,20.964564981523896
2025-02-19 15:33:21,0,0,0,0,0,0,0,0,0,0,0,0,21.5200390625,40657,61.15111363442519,1010.7410282992893,20.90987669599537
2025-02-19 15:33:22,0,0,0,0,0,0,0,0,0,0,0,0,21.569453125,48684,60.97724205745492,1010.744097724418,20.884270313084784
2025-02-19 15:33:23,0,0,0,0,0,0,0,0,0,0,0,0,21.6159375,55935,60.823173017009,1010.7508818520795,20.827674606162116
2025-02-19 15:33:24,0,0,0,0,0,0,66,4,0,0,0,0,21.6598828125,62208,60.64876611969954,1010.7448438695187,20.878045679101348
2025-02-19 15:33:25,0,0,0,0,0,0,66,4,0,0,0,0,21.70109375,67689,60.50084994552838,1010.7428477544257,20.89469805951291
2025-02-19 15:33:26,0,0,0,0,0,0,66,4,0,0,0,0,21.7380078125,72745,60.352413495743754,1010.7371424766868,20.942293886354502
2025-02-19 15:33:27,0,0,0,0,0,0,126,13,0,0,0,0,21.77765625,76674,60.217826166771836,1010.7325352300213,20.980729634855557
2025-02-19 15:33:28,0,0,0,0,0,0,126,13,0,0,0,0,21.818671875,80199,60.15694530513906,1010.7233147665314,21.057651363689256
2025-02-19 15:33:29,0,0,0,0,0,0,126,13,0,0,0,0,21.8602734375,83310,60.27646669454588,1010.7219365317868,21.06914933767807
2025-02-19 15:33:30,0,0,0,0,0,0,126,13,0,0,0,0,21.9048046875,85697,60.510175497287136,1010.7219782281093,21.068801484388615
2025-02-19 15:33:31,0,0,0,0,0,0,126,13,0,0,0,0,21.953046875,89164,60.70453992739148,1010.7195772887552,21.08883143880351
2025-02-19 15:33:32,0,0,0,0,0,0,126,13,0,0,0,0,22.010859375,91602,60.86029241466004,1010.7175840743214,21.10545995732279
2025-02-19 15:33:33,0,0,0,0,0,0,303,33,0,0,0,0,22.075703125,93546,60.99709132379329,1010.7203738815542,21.082185820002877
2025-02-19 15:33:34,0,0,0,0,0,0,303,33,0,0,0,0,22.137421875,94419,61.1201285862327,1010.7248360447376,21.044960059104508
2025-02-19 15:33:35,0,0,0,0,0,0,303,33,0,0,0,0,22.1942578125,97611,61.02106028769887,1010.7332152051099,20.975056964279066
2025-02-19 15:33:36,0,0,0,0,0,0,306,34,1,0,0,0,22.25109375,99171,60.80137532088163,1010.7329793636117,20.977024464133134
2025-02-19 15:33:37,0,0,0,0,0,0,306,34,1,0,0,0,22.3118359375,101025,60.528926243694116,1010.7374946167416,20.939356179588355
2025-02-19 15:33:38,0,0,0,0,0,0,306,34,1,0,0,0,22.38078125,102196,60.2446335089974,1010.7504519747063,20.831260793381926
2025-02-19 15:33:39,0,0,0,0,0,0,318,38,2,0,0,0,22.453828125,104492,59.98132302208235,1010.7512699701488,20.824436790709527
2025-02-19 15:33:40,0,0,0,0,0,0,318,38,2,0,0,0,22.528828125,105214,59.75194243303297,1010.7570277582619,20.776403444862975
2025-02-19 15:33:41,0,0,0,0,0,0,318,38,2,0,0,0,22.596796875,108274,59.48848322615059,1010.7614183184912,20.73977610871172
2025-02-19 15:33:42,0,0,0,0,0,0,318,38,2,0,0,0,22.65890625,109908,59.191245858762315,1010.7646711104721,20.71264045076628
2025-02-19 15:33:43,0,0,0,0,0,0,318,38,2,0,0,0,22.7169140625,111222,58.84071326209016,1010.7610998708328,20.742432687781587
2025-02-19 15:33:45,0,0,0,0,0,0,318,38,2,0,0,0,22.7716015625,113023,58.47703406009457,1010.755446162686,20.789597608787385
2025-02-19 15:33:46,0,0,0,0,0,0,330,42,3,0,0,0,22.8253125,114023,58.153542311114386,1010.748157548491,20.850401719278693
2025-02-19 15:33:47,0,0,0,0,0,0,330,42,3,0,0,0,22.87453125,114962,57.810096982862405,1010.7368447724523,20.94477746628083
2025-02-19 15:33:48,0,0,0,0,0,0,330,42,3,0,0,0,22.92453125,116400,57.51349281361327,1010.7009829298158,21.24395709556379
2025-02-19 15:33:49,0,0,0,0,0,0,339,43,3,0,0,0,22.975703125,117626,57.27675668485888,1010.6653263400212,21.541432912254027
2025-02-19 15:33:50,0,0,0,0,0,0,339,43,3,0,0,0,23.021015625,117709,57.059208444195804,1010.6199323494017,21.920158217775032
2025-02-19 15:33:51,0,0,0,0,0,0,339,43,3,0,0,0,23.060859375,118041,56.80825428496265,1010.5895672705173,22.173503927974846
2025-02-19 15:33:52,0,0,0,0,0,0,351,47,4,0,0,0,23.09953125,119472,56.5574408839536,1010.5503571147075,22.500656104649345
2025-02-19 15:33:53,0,0,0,0,0,0,351,47,4,0,0,0,23.1368359375,120504,56.319856158285084,1010.5002545036773,22.918705062102582
2025-02-19 15:33:54,0,0,0,0,0,0,351,47,4,0,0,0,23.17609375,122174,56.14176611814101,1010.4654388215156,23.20921197410412
2025-02-19 15:33:55,0,0,0,0,0,0,294,44,4,0,0,0,23.219453125,121907,55.96439113536401,1010.41329210447,23.644346621321485
2025-02-19 15:33:56,0,0,0,0,0,0,294,44,4,0,0,0,23.2579296875,122531,55.812653318318084,1010.36164957146,24.07529206091699
2025-02-19 15:33:57,0,0,0,0,0,0,294,44,4,0,0,0,23.287421875,123434,55.67939793394496,1010.334731300024,24.299926113721067
