Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746054097.42,0,0,43.5,2.5,6.0,8.5,27.9528515625,37.97293375797457,1003.258277104954,83.52202087677462,148482.0
1746054099.36,0,0,42.5,3.0,6.0,9.0,27.514765625,41.8051711535453,1003.2612612681792,83.49697625512854,79180.0
1746054101.33,0,0,39.0,3.0,6.0,9.0,26.2411328125,45.44905520419197,1003.3175482710387,83.02458447303985,16369.0
1746054103.35,0,0,39.0,2.0,5.0,8.0,25.5880078125,45.15442051010302,1003.3399780071127,82.83634761789548,26855.5
1746054105.33,0,0,48.5,2.0,5.0,8.0,25.25255859375,44.86822252618768,1003.3597437603648,82.67047056444207,37185.0
1746054107.4,0,0,52.5,2.0,5.0,7.5,25.08673828125,44.65737068733402,1003.3692359953154,82.59081131307309,46726.5
1746054109.32,0,0,55.5,2.0,5.0,7.5,25.00470703125,44.556733933994806,1003.3839672625518,82.46718726231265,55739.5
1746054111.36,0,0,47.5,2.0,5.0,7.0,24.97287109375,44.607593915823614,1003.397486922677,82.35373202552188,64547.0
1746054113.3,0,0,47.5,2.0,5.0,7.0,24.9675,44.72833549887554,1003.4054675571381,82.28676021969153,72839.0
1746054115.36,0,0,53.5,2.0,4.0,7.0,24.97541015625,44.859834664244744,1003.4154626288865,82.20288430288679,80887.0
1746054117.33,0,0,58.0,2.0,4.0,7.0,24.9954296875,44.977666045861305,1003.4169401589834,82.19048533231731,88553.0
1746054119.36,0,0,58.0,2.5,4.5,7.0,25.01896484375,45.04429683878848,1003.4175413012551,82.18544072831196,94991.0
1746054121.35,0,0,56.5,2.5,4.5,7.0,25.04611328125,45.074878567343546,1003.4174304470257,82.18637100536401,101216.0
1746054123.33,0,0,56.5,3.0,5.0,7.0,25.07599609375,45.07233002444119,1003.4202430895481,82.16276829946528,108089.5
1746054125.34,0,0,57.5,3.0,5.0,7.0,25.10724609375,45.04561018412357,1003.4134060579447,82.2201424919524,113952.0
1746054127.35,0,0,63.0,3.0,5.0,7.0,25.136249999999997,44.99125918357896,1003.4061746594623,82.28082640367533,120077.0
1746054129.32,0,0,52.0,3.0,5.0,7.0,25.16427734375,44.94592591180577,1003.4109577378076,82.24068805202259,125725.0
1746054131.35,0,0,52.0,2.5,5.0,7.0,25.190937499999997,44.90955812388633,1003.4082918467134,82.26305948093673,131388.5
1746054133.32,0,0,47.5,2.5,5.0,7.0,25.21564453125,44.87600512471971,1003.4048759332327,82.29172498843481,136589.5
1746054135.37,0,0,50.5,2.0,5.0,7.0,25.23966796875,44.83933698539573,1003.4020077046421,82.31579452495143,141045.0
1746054137.33,0,0,62.0,2.0,5.0,7.0,25.26642578125,44.79084649329785,1003.4071908096557,82.27229911289481,145796.5
1746054139.35,0,0,49.0,2.0,6.0,7.0,25.28927734375,44.73279573490309,1003.4091692158815,82.2556968543831,149606.5
1746054141.27,0,0,49.0,2.0,6.0,7.0,25.28927734375,44.73279573490309,1003.4091692158815,82.2556968543831,149606.5
1746054143.36,0,0,49.0,2.0,6.0,7.0,25.306171875,44.625496108799226,1003.4147256314401,82.20906899768865,153975.5
1746054145.33,0,0,61.5,2.0,6.0,7.0,25.32013671875,44.49668509209598,1003.4110409687556,82.23998959109178,157719.0
1746054147.35,0,0,43.5,2.0,6.0,7.0,25.335957031249997,44.37727236357557,1003.4130648607481,82.22300567301436,162661.5
1746054149.32,0,0,43.5,2.0,6.0,7.0,25.35470703125,44.28251057787594,1003.4089396428742,82.2576233486491,166678.5
1746054151.36,0,0,52.0,3.0,6.0,9.0,25.374921875,44.20916189015363,1003.4055854651036,82.2857708243086,169258.0
1746054153.33,0,0,53.5,3.0,6.0,9.0,25.39533203125,44.14797164921713,1003.3974306674475,82.35420410368525,172021.5
1746054155.4,0,0,50.5,3.0,6.0,10.0,25.410859375,44.09530876954446,1003.3921128930863,82.39882998538911,176441.5
1746054157.33,0,0,55.5,3.0,6.0,10.0,25.42404296875,43.98492141786015,1003.3853866308275,82.45527595330158,180099.0
1746054159.32,0,0,55.5,3.0,6.0,10.0,25.44220703125,43.89028923621608,1003.381114767195,82.49112507119133,183132.0
1746054161.35,0,0,54.0,3.0,6.0,11.0,25.459296875,43.90134241392762,1003.3895563202258,82.42028440804404,185546.0
1746054163.32,0,0,42.5,3.0,6.0,11.0,25.47677734375,43.848973644656134,1003.3901084072389,82.41565134892552,187144.0
1746054165.39,0,0,50.5,3.0,7.0,11.0,25.490253906249997,43.73574686482613,1003.3907146749775,82.4105636327538,190856.5
1746054167.33,0,0,54.5,3.0,7.0,11.0,25.48859375,43.61782000872041,1003.3887564057895,82.42699718664028,192460.5
1746054169.38,0,0,54.5,3.0,7.0,11.0,25.47404296875,43.68859128058793,1003.3897498368833,82.41866043353102,193585.5
1746054171.32,0,0,51.0,3.0,7.0,11.0,25.45978515625,44.01935706088063,1003.3946589388501,82.37746406996214,193584.0
1746054173.36,0,0,53.5,3.0,7.0,11.0,25.44845703125,44.37834572953253,1003.4139372397242,82.2156849307915,194549.5
1746054175.34,0,0,54.5,3.0,7.0,11.0,25.441914062499997,44.67791382053069,1003.411398727286,82.23698737743507,197561.0
1746054177.34,0,0,54.5,3.0,6.0,12.0,25.4352734375,44.80469555755634,1003.4086945636445,82.25968008852328,200424.5
1746054179.33,0,0,56.0,3.0,6.0,12.0,25.43478515625,44.819831221523074,1003.3976069936648,82.35272450834282,201826.5
1746054181.35,0,0,46.5,2.5,6.0,11.0,25.436640625000003,44.86564069807207,1003.3964765250903,82.36221115833264,203000.5
1746054183.33,0,0,54.5,2.5,6.0,11.0,25.43166015625,44.96539073643933,1003.3940209061288,82.38281824210839,205897.0
1746054185.37,0,0,48.5,2.0,6.0,10.0,25.4255078125,44.93425117624999,1003.3989840835789,82.3411681742674,209077.5
1746054187.31,0,0,48.5,2.0,6.0,10.0,25.42365234375,44.83979137078761,1003.406954361391,82.27428332782335,211141.5
1746054189.37,0,0,58.0,2.0,6.0,11.0,25.4221875,44.74239155774195,1003.4044717677978,82.29511665306684,214205.0
1746054191.29,0,0,55.0,2.0,6.0,11.0,25.4221875,44.74239155774195,1003.4044717677978,82.29511665306684,214205.0
1746054193.36,0,0,50.0,2.0,5.5,10.5,25.4173046875,44.629468791636604,1003.4081661951052,82.26411391788997,215526.0
1746054195.35,0,0,48.0,2.0,5.5,10.5,25.4141796875,44.49559176932691,1003.4037249465011,82.30138380788661,217861.5
1746054197.33,0,0,48.0,2.0,5.0,10.0,25.410664062499997,44.39511845706315,1003.4011865679787,82.32268533034616,219519.0
1746054199.33,0,0,49.5,2.0,5.0,10.0,25.40470703125,44.31562497464303,1003.4039150656456,82.29978837016625,221203.0
1746054201.35,0,0,53.5,3.0,5.0,10.0,25.400507812500003,44.242434465998414,1003.4027829061997,82.30928920652747,223061.0
1746054203.33,0,0,56.0,3.0,5.0,10.0,25.39669921875,44.129973775021,1003.4014577401912,82.3204097306817,225105.5
1746054205.35,0,0,56.0,3.0,5.0,10.0,25.387812500000003,44.03816673354146,1003.3975105802399,82.35353349234643,226953.5
1746054207.33,0,0,55.5,3.0,5.0,10.0,25.37638671875,44.015663293021625,1003.4003739039756,82.32950503403634,229303.5
1746054209.35,0,0,54.0,3.0,5.0,10.0,25.364765624999997,43.97197732813221,1003.3994858700345,82.33695725776948,230179.0
1746054211.33,0,0,50.5,3.0,5.0,10.0,25.35255859375,43.891965375520826,1003.3958943927198,82.36709626510158,232844.0
1746054213.36,0,0,44.5,3.0,6.0,8.0,25.3380078125,43.8721444601979,1003.3960238062017,82.36601023302985,232193.0
1746054215.32,0,0,44.5,3.0,6.0,8.0,25.32697265625,43.96758582059198,1003.3961270602844,82.36514375728544,231708.0
1746054217.35,0,0,47.0,3.0,5.5,7.0,25.313593750000003,44.08397414522466,1003.3956765034129,82.3689247478886,234656.0
1746054219.33,0,0,53.5,3.0,5.5,7.0,25.29611328125,44.11219145410105,1003.3951116731176,82.37366474310579,235571.5
1746054221.35,0,0,57.0,3.0,5.0,6.0,25.278437500000003,44.12223497285571,1003.3959240850396,82.36684711552417,238024.5
1746054223.33,0,0,48.5,3.0,5.0,6.0,25.25939453125,44.06556472684926,1003.400401011344,82.32927757658916,239137.0
1746054225.36,0,0,48.5,3.0,5.0,6.0,25.24767578125,43.91303666748543,1003.3967772797506,82.35968721542169,240961.5
1746054227.33,0,0,52.5,3.0,5.0,6.0,25.24455078125,43.75560278607804,1003.393189651278,82.38979399686588,241054.0
1746054229.36,0,0,54.5,3.0,5.0,6.5,25.2450390625,43.62890052019968,1003.3948720876065,82.37567526120696,242990.0
1746054231.33,0,0,52.0,3.0,5.0,6.5,25.24591796875,43.514398192162936,1003.3929429001984,82.39186487253936,242370.0
1746054233.34,0,0,52.0,3.0,5.0,7.0,25.243183593749997,43.450781224115566,1003.3874531349832,82.43793408419799,243615.0
1746054235.35,0,0,49.5,3.0,5.0,7.0,25.23576171875,43.46801053191362,1003.3911124946574,82.40722522406656,243527.0
1746054237.32,0,0,49.5,3.0,6.0,8.0,25.23576171875,43.46801053191362,1003.3911124946574,82.40722522406656,243527.0
1746054239.33,0,0,60.5,3.0,6.0,8.0,25.2282421875,43.56965112936685,1003.384349269204,82.4639813749802,244423.0
1746054241.35,0,0,57.5,3.0,6.0,8.5,25.226093749999997,43.67800581830292,1003.379852713515,82.50171613617039,245598.0
1746054243.3,0,0,57.5,3.0,6.0,8.5,25.2309765625,43.76912554929377,1003.3770180369561,82.5255045669264,245962.5
1746054245.37,0,0,49.0,3.0,6.0,9.0,25.24181640625,43.836819875635754,1003.3688953832396,82.59366973191038,246602.0
1746054247.32,0,0,58.5,3.0,6.0,9.0,25.252949218749997,43.8894697958253,1003.3672518819237,82.60746202046406,246331.0
1746054249.35,0,0,48.5,3.0,6.0,9.0,25.26798828125,44.00003648702247,1003.3636810562389,82.63742852611752,245873.0
1746054251.31,0,0,48.5,3.0,6.0,9.0,25.283320312500003,44.19242159056869,1003.3631700774395,82.64171666407474,244250.5
1746054253.35,0,0,52.5,3.0,6.0,9.5,25.301484375,44.34293297967825,1003.3700226701185,82.58420956824139,245053.5
1746054255.33,0,0,59.5,3.0,6.0,9.5,25.31701171875,44.41445326997706,1003.3741147875369,82.54986857006458,245689.0
1746054257.35,0,0,48.0,3.0,6.0,10.0,25.3315625,44.44950570215889,1003.3697118876644,82.58681761916688,246240.5
1746054259.34,0,0,57.0,3.0,6.0,10.0,25.347675781249997,44.436235713179016,1003.3722305647163,82.56568089787865,248544.0
1746054261.35,0,0,57.0,3.0,7.0,10.0,25.36427734375,44.44727905522373,1003.3764306347257,82.53043401701692,247706.0
1746054263.33,0,0,50.0,3.0,7.0,10.0,25.377070312500003,44.54280202583806,1003.3827241283151,82.47761941381097,246877.5
1746054265.38,0,0,51.5,3.5,7.0,10.5,25.38419921875,44.698433492667704,1003.3811274631007,82.49101852254464,248175.5
1746054267.33,0,0,47.5,3.5,7.0,10.5,25.38927734375,44.8053415254452,1003.3837493504086,82.46901584666465,249291.0
1746054269.37,0,0,51.5,4.0,7.0,11.0,25.398066406250003,44.89147923797552,1003.3866757964539,82.44445740050651,249100.5
1746054271.31,0,0,51.5,4.0,7.0,11.0,25.40587890625,44.99275316820391,1003.3939316768065,82.3835670325723,249103.5
1746054273.33,0,0,56.5,4.0,7.0,11.0,25.409296875000003,44.947537513956455,1003.3971595318901,82.35647943510428,251365.5
1746054275.37,0,0,49.0,3.0,6.0,10.0,25.410078125,44.84122843767661,1003.3959186683148,82.36689256377375,252609.5
1746054277.33,0,0,55.0,3.0,6.0,10.0,25.41203125,44.656172699269604,1003.3992288152788,82.33911438800178,254157.0
1746054279.37,0,0,44.5,3.5,6.5,10.5,25.4149609375,44.462325755159625,1003.389659415591,82.41941931096314,255135.5
1746054281.31,0,0,44.5,3.5,6.5,10.5,25.417597656250003,44.308046330598664,1003.3804483693352,82.49671742786109,256515.5
1746054283.32,0,0,49.0,4.0,7.0,11.0,25.417597656250003,44.308046330598664,1003.3804483693352,82.49671742786109,256515.5
1746054285.34,0,0,49.5,4.0,7.0,11.0,25.42345703125,44.18758398892007,1003.3809737095761,82.49230880481787,256614.5
1746054287.35,0,0,53.5,4.0,7.0,10.0,25.42599609375,44.0940475869085,1003.3921166930918,82.39879809629986,256416.0
1746054289.31,0,0,53.5,4.0,7.0,10.0,25.42208984375,44.00888671189793,1003.3820765987101,82.48305344629,257311.0
1746054291.35,0,0,52.5,4.0,7.0,10.0,25.411250000000003,43.925987490876544,1003.3825152434144,82.47937235731348,260748.0
1746054293.32,0,0,58.0,4.0,7.0,10.0,25.39884765625,43.79763653330933,1003.3811601755688,82.49074398031618,263231.5
1746054295.36,0,0,46.0,4.0,7.0,10.0,25.3778515625,43.61709233390963,1003.3780636148219,82.51673014341826,264807.5
1746054297.33,0,0,54.5,4.0,7.0,10.0,25.355976562499997,43.46377138337599,1003.3683463791772,82.59827699042735,265124.5
1746054299.35,0,0,54.5,4.0,7.0,8.0,25.33546875,43.30172697540719,1003.3720581723189,82.5671276034831,268017.0
