Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745448835.52,0,0,42.5,1.0,1.0,3.0,25.589765625,40.27974399641795,1004.073339364578,76.6836488084192,9028.0
1745448837.43,0,0,47.5,1.0,1.0,3.0,25.50861328125,40.0640544755765,1004.0477684820291,76.89812033748834,16951.0
1745448839.47,0,0,45.0,1.0,1.0,3.5,25.4977734375,39.82380355838057,1004.0182716101432,77.1455257760955,25513.0
1745448841.42,0,0,45.0,1.0,1.0,3.5,25.50978515625,39.71305039871902,1003.9950277222171,77.3404882022993,33948.5
1745448843.47,0,0,41.0,1.0,1.0,4.0,25.531757812499997,39.615231095773524,1003.9878161625402,77.4009772263463,42046.5
1745448845.43,0,0,47.0,1.0,1.0,4.0,25.55314453125,39.41733737482024,1003.98473953842,77.42678340864671,49339.0
1745448847.46,0,0,50.0,1.0,1.0,3.0,25.57560546875,39.20215434261927,1003.977495511372,77.48754533924928,56411.0
1745448849.42,0,0,50.0,1.0,1.0,3.0,25.59689453125,39.01059510922501,1003.9733933792868,77.52195361812865,62859.0
1745448851.51,0,0,36.5,1.0,1.5,3.0,25.6145703125,38.856985193782634,1003.9742816799981,77.51450263621834,68897.0
1745448853.43,0,0,35.5,1.0,1.5,3.0,25.6317578125,38.76206296880761,1003.9923017508877,77.36335313713494,74286.0
1745448855.45,0,0,34.5,1.0,2.0,3.0,25.649042968750003,38.74044051463514,1004.0010786074364,77.28973479372142,80016.0
1745448857.43,0,0,37.5,1.0,2.0,3.0,25.663984375,38.74201400342285,1004.0118685846709,77.19923179414513,85269.0
1745448859.47,0,0,37.5,1.0,2.0,3.0,25.676484375,38.71403032181375,1004.0262172203145,77.07888111912186,90182.5
1745448861.43,0,0,40.0,1.0,2.0,3.0,25.68908203125,38.75931306213273,1004.0407312430242,76.95714446989535,93823.5
1745448863.46,0,0,37.5,1.0,2.0,3.0,25.70109375,38.813338059634866,1004.0456980675756,76.91548549860013,98126.5
1745448865.43,37.8759730759583,-122.25901493996014,35.5,1.0,2.0,3.0,25.70880859375,38.77018194535439,1004.0459462163926,76.91340418596492,102654.5
1745448867.42,37.87597330764451,-122.25901533188704,35.5,1.0,2.0,3.0,25.70880859375,38.77018194535439,1004.0459462163926,76.91340418596492,102654.5
1745448869.43,37.87597192196429,-122.25901398411666,41.5,1.0,2.0,3.0,25.7157421875,38.697655538306,1004.0500020459331,76.87938624803965,106483.5
1745448871.45,37.87597245222057,-122.2590136866618,46.0,1.0,2.0,3.0,25.7235546875,38.66918363698642,1004.046993680346,76.90461864576784,111176.5
1745448873.45,37.87597047526846,-122.25901232553936,41.5,1.0,2.0,3.0,25.73498046875,38.562044406912655,1004.0449778019074,76.92152667780321,115126.5
1745448875.45,37.87597048206084,-122.2590123321198,45.5,1.0,2.0,2.5,25.74875,38.39087182821794,1004.0460789608237,76.91229078976477,119558.0
1745448877.43,37.87597430221172,-122.25900805556546,45.5,1.0,2.0,2.5,25.76017578125,38.240078876319465,1004.0414953535525,76.95073559341421,122780.5
1745448879.45,37.87597461294962,-122.25900869820518,39.5,0.0,1.0,1.0,25.77169921875,38.101113527383504,1004.031088288827,77.03802470501815,126643.0
1745448881.43,37.87597462036867,-122.25900870505669,33.5,0.0,1.0,1.0,25.781269531249997,37.99413737012388,1004.0302017113918,77.04546091058047,129860.0
1745448883.46,37.87597697290112,-122.25902799439918,42.0,0.5,0.5,1.5,25.78908203125,37.91620710597047,1004.0271905312281,77.07071731416077,131889.0
1745448885.43,37.87597697290112,-122.25902799439918,46.0,0.5,0.5,1.5,25.7981640625,37.911316854693766,1004.0203424555054,77.12815606813152,134470.5
1745448887.44,37.87597697290112,-122.25902799439918,46.0,1.0,1.0,1.5,25.80861328125,37.932810062676694,1004.0123891850346,77.19486514869982,137028.0
1745448889.43,37.87598343625635,-122.2590359292477,44.0,1.0,1.0,1.5,25.81837890625,37.96881866881198,1004.0101207230963,77.21389222922448,139696.0
1745448891.47,37.87598343625635,-122.2590359292477,44.5,1.0,1.0,1.0,25.82736328125,37.97850099748365,1004.0082386176769,77.22967872059533,142047.0
1745448893.43,37.87599938830722,-122.25904081111995,45.0,1.0,1.0,1.0,25.83615234375,37.967745595389175,1004.0085917004658,77.22671717906239,145163.5
1745448895.45,37.875972072658186,-122.25902823294092,45.0,1.0,1.0,1.0,25.843378906250003,37.930581651239336,1003.9968849097886,77.32491048920616,147317.0
1745448897.44,37.875972072658186,-122.25902823294092,37.5,1.0,1.0,1.0,25.853046874999997,37.887847803325144,1003.9961601930872,77.33098920631093,149736.5
1745448899.45,37.87597036800702,-122.25902727969185,38.0,1.0,1.0,1.0,25.86330078125,37.87433394819767,1003.9835943636297,77.43638899149813,150872.0
1745448901.43,37.87597413509345,-122.25902266801809,39.5,1.0,1.0,1.0,25.87638671875,38.29321534637299,1003.9895171983565,77.38670924340842,150535.5
1745448903.46,37.87597294504726,-122.25902197282066,41.0,1.0,1.0,1.0,25.8883984375,38.74809634228892,1003.9876294871477,77.40254304863483,153132.0
1745448905.41,37.875972945043465,-122.25902197281818,41.0,1.0,1.0,1.0,25.8954296875,38.877862301763464,1003.976444477483,77.49636139996633,155895.0
1745448907.48,37.875970070057456,-122.25901937808749,41.5,1.0,1.0,1.0,25.903339843749997,38.81124044860003,1003.9590478548112,77.6422834020102,159349.0
1745448909.44,37.87597044904098,-122.25901990802181,43.0,1.0,1.0,1.0,25.914765625,38.62194123794147,1003.9424746585399,77.78130054766196,161485.5
1745448911.46,37.875970455487696,-122.25901991253956,45.5,1.0,1.0,1.0,25.92755859375,38.43592510423291,1003.9367739128309,77.82911935718303,163441.5
1745448913.44,37.875971493589134,-122.25903616169893,44.5,1.0,1.0,1.0,25.9356640625,38.235024493765835,1003.9385307495951,77.81438263763937,165768.5
1745448915.37,37.87597128382008,-122.25903654775159,44.5,1.0,1.0,1.0,25.9356640625,38.235024493765835,1003.9385307495951,77.81438263763937,165768.5
1745448917.48,37.875971291849034,-122.25903655570644,44.0,1.0,1.0,1.0,25.934687500000003,37.97506806038875,1003.9360201066863,77.83544230809096,168329.0
1745448919.43,37.875970163338266,-122.25902438581919,35.0,1.0,1.0,1.0,25.932734375,37.75038947344927,1003.9267204734623,77.9134495194755,170197.5
