Timestamp,PM1.0 (std),PM2.5 (std),PM10 (std),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um,Temperature: %0.1f C,Gas: %d ohm,Humidity: %0.1f %%,Pressure: %0.3f hPa,Altitude = %0.2f meters
2025-02-19 15:52:45,0,1,1,0,1,1,204,62,11,1,0,0,23.9684765625,147318,52.066098049921166,1010.8119987562771,20.317828609843296
2025-02-19 15:52:46,0,1,1,0,1,1,204,62,11,1,0,0,23.9747265625,148757,52.054083648754016,1010.8120075477805,20.317755271656782
2025-02-19 15:52:47,0,0,0,0,0,0,186,56,8,1,0,0,23.9801953125,148230,52.029134599322944,1010.8107213560784,20.328484610442516
2025-02-19 15:52:48,0,0,0,0,0,0,186,56,8,1,0,0,23.98546875,148757,52.029826200706154,1010.8056613061917,20.370695369093475
2025-02-19 15:52:49,0,0,0,0,0,0,186,56,8,1,0,0,23.9903515625,148889,52.01121869030295,1010.7982286470561,20.432698661104343
2025-02-19 15:52:50,0,1,1,0,1,1,201,57,10,1,0,0,23.99640625,149554,51.99276647306055,1010.808263184061,20.348990573809346
2025-02-19 15:52:51,0,1,1,0,1,1,201,57,10,1,0,0,24.001484375,149687,51.97418786624503,1010.8063290020136,20.36512546416888
2025-02-19 15:52:53,0,1,1,0,1,1,201,57,10,1,0,0,24.0067578125,150224,51.968464633287994,1010.8064434224071,20.364170971881855
2025-02-19 15:52:54,0,0,0,0,0,0,195,51,8,1,0,0,24.011640625,150629,51.95627632659439,1010.8145356978343,20.29666561842127
2025-02-19 15:52:55,0,0,0,0,0,0,195,51,8,1,0,0,24.0157421875,151310,51.937572946437925,1010.8092576468305,20.340694804054728
2025-02-19 15:52:56,0,0,0,0,0,0,195,51,8,1,0,0,24.01984375,151447,51.906046398142394,1010.8022543627773,20.399116067918705
2025-02-19 15:52:57,0,0,0,0,0,0,201,53,10,1,0,0,24.024921875,151173,51.88747553988872,1010.8003195317267,20.415256449938468
2025-02-19 15:52:58,0,0,0,0,0,0,201,53,10,1,0,0,24.0284375,151996,51.849469852196506,1010.8026955801429,20.395435431278322
2025-02-19 15:52:59,0,0,0,0,0,0,201,53,10,1,0,0,24.0313671875,150765,51.83062312052703,1010.7972000664477,20.441279116467197
2025-02-19 15:53:00,0,0,0,0,0,0,186,48,10,0,0,0,24.03546875,151996,51.81193144554684,1010.8005470536186,20.413358458503502
2025-02-19 15:53:01,0,0,0,0,0,0,186,48,10,0,0,0,24.0391796875,152689,51.78037394871586,1010.7928957941688,20.477185582866362
2025-02-19 15:53:02,0,0,0,0,0,0,186,48,10,0,0,0,24.0430859375,152828,51.76166143169986,1010.7976441300603,20.43757472143125
2025-02-19 15:53:03,0,1,1,0,1,1,210,55,14,1,0,0,24.046796875,153108,51.749332007860964,1010.8037939447739,20.386272875754223
2025-02-19 15:53:04,0,0,0,0,0,0,210,55,14,1,0,0,24.05109375,153108,51.724267106287364,1010.8057392690259,20.37004500456544
2025-02-19 15:53:05,0,0,0,0,0,0,210,55,14,1,0,0,24.0571484375,153811,51.71224603740462,1010.8036968264204,20.38708303653899
2025-02-19 15:53:06,0,0,0,0,0,0,204,53,17,1,0,0,24.0628125,154236,51.68736421384375,1010.8113580834688,20.323173065008937
2025-02-19 15:53:07,0,0,0,0,0,0,204,53,17,1,0,0,24.0669140625,153952,51.68149486395862,1010.8043534415825,20.381605557609884
2025-02-19 15:53:08,0,0,0,0,0,0,204,53,17,1,0,0,24.071015625,154806,51.65641278748753,1010.8025243205755,20.396864078971713
2025-02-19 15:53:09,0,0,0,0,0,0,219,61,17,1,0,0,24.07609375,154663,51.65067169225945,1010.8023134168471,20.398623438611313
2025-02-19 15:53:10,0,0,0,0,0,0,219,61,17,1,0,0,24.0801953125,153952,51.64480327861008,1010.7987588369245,20.42827580146213
2025-02-19 15:53:11,0,1,1,0,1,1,219,61,17,1,0,0,24.0856640625,154378,51.63911342726659,1010.7957444769293,20.453421707158487
2025-02-19 15:53:12,0,1,1,0,1,1,228,62,18,1,0,0,24.091328125,156250,51.62064299713612,1010.7999547115644,20.418299786571236
2025-02-19 15:53:13,0,1,1,0,1,1,228,62,18,1,0,0,24.096796875,155380,51.61495370617943,1010.8021159245222,20.40027092054196
2025-02-19 15:53:14,0,1,1,0,1,1,228,62,18,1,0,0,24.1028515625,156250,51.59653628453947,1010.8052480017266,20.374143147998776
2025-02-19 15:53:15,0,1,1,0,1,1,243,65,18,1,0,0,24.108125,155959,51.59082207674338,1010.8019093847531,20.401993876582562
2025-02-19 15:53:16,0,1,1,0,1,1,243,65,18,1,0,0,24.113984375,154378,51.57238122255136,1010.8133442668077,20.306604448480027
2025-02-19 15:53:17,0,0,0,0,0,0,243,65,18,1,0,0,24.1176953125,155959,51.57286514838444,1010.8074162012995,20.356056076283906
2025-02-19 15:53:18,0,0,0,0,0,0,246,65,18,1,0,0,24.121796875,156396,51.5541966166086,1010.8124874739428,20.313751757455357
2025-02-19 15:53:19,0,0,0,0,0,0,246,65,18,1,0,0,24.127265625,156396,51.54210832672289,1010.8146481476709,20.295727570635343
2025-02-19 15:53:20,0,0,0,0,0,0,246,65,18,1,0,0,24.1317578125,157277,51.536293560158875,1010.8186412716555,20.262417295994865
2025-02-19 15:53:21,0,0,0,0,0,0,237,65,15,1,0,0,24.135859375,156542,51.524028035372204,1010.8185362665401,20.263293237687794
2025-02-19 15:53:22,0,0,0,0,0,0,237,65,15,1,0,0,24.1415234375,156688,51.50556745131821,1010.8123932617646,20.31453766946432
2025-02-19 15:53:23,0,0,0,0,0,0,237,65,15,1,0,0,24.1469921875,158168,51.49348182852537,1010.8111026579321,20.32530381068718
2025-02-19 15:53:24,0,0,0,0,0,0,243,68,14,1,0,0,24.1520703125,158318,51.50054251746999,1010.8160663968541,20.283896653612455
2025-02-19 15:53:25,0,0,0,0,0,0,243,68,14,1,0,0,24.1571484375,157425,51.469210797517476,1010.812402815623,20.314457971778715
2025-02-19 15:53:26,0,0,0,0,0,0,243,68,14,1,0,0,24.1618359375,156835,51.47621965277229,1010.8184446097533,20.264057829082272
2025-02-19 15:53:27,0,0,0,0,0,0,243,66,12,1,0,0,24.1661328125,157277,51.45758501096055,1010.816937199659,20.27663249552241
2025-02-19 15:53:28,0,0,0,0,0,0,243,66,12,1,0,0,24.1704296875,157277,51.432555001944436,1010.8085277213399,20.346783813469923
